country;country_code;year_week;level;region;region_name;new_cases;tests_done;population;testing_rate;positivity_rate;testing_data_source
Austria;AT;2020-W15;national;AT;Austria;1954;12339;8901064;138,6238769;15,83596726;Manual webscraping
Austria;AT;2020-W16;national;AT;Austria;773;58488;8901064;657,0899838;1,321638627;Manual webscraping
Austria;AT;2020-W17;national;AT;Austria;479;33443;8901064;375,7191275;1,432287773;Manual webscraping
Austria;AT;2020-W18;national;AT;Austria;349;26598;8901064;298,8182087;1,312128731;Country website
Austria;AT;2020-W19;national;AT;Austria;249;42153;8901064;473,5725976;0,590705288;Country website
Austria;AT;2020-W20;national;AT;Austria;367;46001;8901064;516,8033844;0,797808743;Country website
Austria;AT;2020-W21;national;AT;Austria;285;39348;8901064;442,0595111;0,724306191;Country website
Austria;AT;2020-W22;national;AT;Austria;203;46677;8901064;524,3979821;0,4349037;Country website
Austria;AT;2020-W23;national;AT;Austria;226;41063;8901064;461,3268706;0,550373816;Country website
Austria;AT;2020-W24;national;AT;Austria;170;35243;8901064;395,941429;0,482365292;Country website
Austria;AT;2020-W25;national;AT;Austria;247;15775;8901064;177,2260035;1,565768621;Country website
Austria;AT;2020-W26;national;AT;Austria;340;61905;8901064;695,4786529;0,549228657;Country website
Austria;AT;2020-W27;national;AT;Austria;644;45284;8901064;508,7481676;1,422135854;Country website
Austria;AT;2020-W28;national;AT;Austria;578;48936;8901064;549,7769705;1,181134543;Country website
Austria;AT;2020-W29;national;AT;Austria;724;51929;8901064;583,4021641;1,394211327;Country website
Austria;AT;2020-W30;national;AT;Austria;915;99229;8901064;1114,799309;0,922109464;Country website
Austria;AT;2020-W31;national;AT;Austria;823;57416;8901064;645,0464798;1,433398356;Country website
Austria;AT;2020-W32;national;AT;Austria;702;56554;8901064;635,3622443;1,241291509;Country website
Austria;AT;2020-W33;national;AT;Austria;1362;56622;8901064;636,1261979;2,405425453;Country website
Austria;AT;2020-W34;national;AT;Austria;1866;76497;8901064;859,4141105;2,439311346;Country website
Austria;AT;2020-W35;national;AT;Austria;1979;77105;8901064;866,2447546;2,56662992;Country website
Austria;AT;2020-W36;national;AT;Austria;1976;83733;8901064;940,7077626;2,359882006;Country website
Austria;AT;2020-W37;national;AT;Austria;4141;86241;8901064;968,8841694;4,801660463;Country website
Austria;AT;2020-W38;national;AT;Austria;5222;102617;8901064;1152,862175;5,088825438;Country website
Austria;AT;2020-W39;national;AT;Austria;4909;110816;8901064;1244,974758;4,429865723;Country website
Austria;AT;2020-W40;national;AT;Austria;5152;130874;8901064;1470,318605;3,936610786;Country website
Austria;AT;2020-W41;national;AT;Austria;7365;124663;8901064;1400,54043;5,907927773;TESSy
