Country;Response_measure;date_start;date_end
Austria;AdaptationOfWorkplace;16/03/2020;13/04/2020
Austria;BanOnAllEvents;03/11/2020;NA
Austria;ClosDaycare;16/03/2020;04/05/2020
Austria;ClosDaycarePartial;17/11/2020;07/12/2020
Austria;ClosHigh;16/03/2020;30/09/2020
Austria;ClosHighPartial;03/11/2020;NA
Austria;ClosPrim;16/03/2020;18/05/2020
Austria;ClosPrim;26/12/2020;07/02/2021
Austria;ClosPrimPartial;17/11/2020;07/12/2020
Austria;ClosPubAny;16/03/2020;13/04/2020
Austria;ClosPubAny;02/05/2020;14/05/2020
Austria;ClosPubAny;16/11/2020;06/12/2020
Austria;ClosPubAny;28/12/2020;06/02/2021
Austria;ClosPubAnyPartial;14/04/2020;01/05/2020
Austria;ClosPubAnyPartial;15/05/2020;15/11/2020
Austria;ClosPubAnyPartial;07/12/2020;27/12/2020
Austria;ClosPubAnyPartial;07/02/2021;NA
Austria;ClosSec;16/03/2020;03/05/2020
Austria;ClosSec;03/11/2020;07/02/2021
Austria;ClosSecPartial;04/05/2020;03/06/2020
Austria;ClosSecPartial;08/02/2021;NA
Austria;EntertainmentVenues;16/03/2020;30/04/2020
Austria;EntertainmentVenues;03/11/2020;07/02/2021
Austria;EntertainmentVenuesPartial;08/02/2021;NA
Austria;GymsSportsCentres;03/11/2020;NA
Austria;HotelsOtherAccommodation;31/03/2020;29/05/2020
Austria;HotelsOtherAccommodation;03/11/2020;NA
Austria;IndoorOver100;10/03/2020;01/07/2020
Austria;IndoorOver1000;02/07/2020;31/07/2020
Austria;IndoorOver1000;21/09/2020;02/11/2020
Austria;MasksMandatoryAllSpaces;14/09/2020;NA
Austria;MasksMandatoryClosedSpaces;06/04/2020;14/06/2020
Austria;MasksMandatoryClosedSpacesPartial;15/06/2020;13/09/2020
Austria;MasksVoluntaryClosedSpacesPartial;31/03/2020;05/04/2020
Austria;MassGather50;30/04/2020;29/05/2020
Austria;MassGather50;03/11/2020;NA
Austria;MassGatherAll;10/03/2020;31/07/2020
Austria;MassGatherAll;21/09/2020;NA
Austria;NonEssentialShops;16/03/2020;13/04/2020
Austria;NonEssentialShops;17/11/2020;06/12/2020
Austria;NonEssentialShops;26/12/2020;07/02/2021
Austria;NonEssentialShopsPartial;14/04/2020;01/05/2020
Austria;NonEssentialShopsPartial;08/02/2021;NA
Austria;OutdoorOver1000;02/07/2020;31/07/2020
Austria;OutdoorOver1000;21/09/2020;02/11/2020
Austria;OutdoorOver50;30/04/2020;29/05/2020
Austria;OutdoorOver500;10/03/2020;29/04/2020
Austria;OutdoorOver500;30/05/2020;01/07/2020
Austria;PlaceOfWorship;16/03/2020;14/05/2020
Austria;PlaceOfWorship;16/11/2020;06/12/2020
Austria;PlaceOfWorship;28/12/2020;06/02/2021
Austria;PlaceOfWorshipPartial;15/05/2020;15/11/2020
Austria;PlaceOfWorshipPartial;07/12/2020;27/12/2020
Austria;PlaceOfWorshipPartial;07/02/2021;NA
Austria;PrivateGatheringRestrictions;16/03/2020;30/04/2020
Austria;PrivateGatheringRestrictions;23/10/2020;16/11/2020
Austria;RestaurantsCafes;16/03/2020;15/05/2020
Austria;RestaurantsCafes;03/11/2020;NA
Austria;SocialCircle;17/11/2020;NA
Austria;StayHomeGen;10/03/2020;15/03/2020
Austria;StayHomeOrder;16/03/2020;30/04/2020
Austria;StayHomeOrder;17/11/2020;07/02/2021
Austria;StayHomeOrderPartial;03/11/2020;16/11/2020
Austria;StayHomeOrderPartial;08/02/2021;NA
Austria;Teleworking;10/03/2020;NA
Belgium;BanOnAllEvents;02/11/2020;07/03/2021
Belgium;ClosDaycare;01/05/2020;02/06/2020
Belgium;ClosDaycare;12/11/2020;15/11/2020
Belgium;ClosHigh;13/03/2020;NA
Belgium;ClosPrim;13/03/2020;17/05/2020
Belgium;ClosPrim;12/11/2020;16/11/2020
Belgium;ClosPrimPartial;18/05/2020;08/06/2020
Belgium;ClosPubAny;13/03/2020;03/05/2020
Belgium;ClosPubAny;02/11/2020;30/11/2020
Belgium;ClosPubAnyPartial;04/05/2020;01/11/2020
Belgium;ClosPubAnyPartial;01/12/2020;NA
Belgium;ClosSec;13/03/2020;17/05/2020
Belgium;ClosSec;12/11/2020;15/11/2020
Belgium;ClosSecPartial;18/05/2020;28/08/2020
Belgium;EntertainmentVenues;13/03/2020;17/05/2020
Belgium;EntertainmentVenues;02/11/2020;NA
Belgium;EntertainmentVenuesPartial;18/05/2020;01/11/2020
Belgium;GymsSportsCentres;13/03/2020;03/05/2020
Belgium;GymsSportsCentres;02/11/2020;NA
Belgium;GymsSportsCentresPartial;04/05/2020;01/07/2020
Belgium;IndoorOver1000;10/03/2020;17/03/2020
Belgium;IndoorOver50;19/10/2020;01/11/2020
Belgium;IndoorOver500;01/07/2020;18/10/2020
Belgium;MasksMandatoryAllSpaces;11/07/2020;30/09/2020
Belgium;MasksMandatoryAllSpacesPartial;01/10/2020;NA
Belgium;MasksMandatoryClosedSpaces;04/05/2020;NA
Belgium;MasksVoluntaryAllSpaces;04/05/2020;10/07/2020
Belgium;MassGather50;19/10/2020;NA
Belgium;MassGatherAll;10/03/2020;17/03/2020
Belgium;MassGatherAll;01/07/2020;NA
Belgium;NonEssentialShops;13/03/2020;03/05/2020
Belgium;NonEssentialShops;02/11/2020;30/11/2020
Belgium;NonEssentialShopsPartial;04/05/2020;02/06/2020
Belgium;NonEssentialShopsPartial;19/10/2020;01/11/2020
Belgium;NonEssentialShopsPartial;01/12/2020;NA
Belgium;OutdoorOver50;08/03/2021;NA
Belgium;OutdoorOver500;01/07/2020;18/10/2020
Belgium;PlaceOfWorship;13/03/2020;07/06/2020
Belgium;PlaceOfWorshipPartial;08/06/2020;05/10/2020
Belgium;PrivateGatheringRestrictions;18/03/2020;30/06/2020
Belgium;PrivateGatheringRestrictions;09/10/2020;NA
Belgium;RestaurantsCafes;13/03/2020;08/06/2020
Belgium;RestaurantsCafes;19/10/2020;NA
Belgium;RestaurantsCafesPartial;09/10/2020;18/10/2020
Belgium;SocialCircle;18/03/2020;NA
Belgium;StayHomeGenPartial;10/05/2020;31/08/2020
Belgium;StayHomeOrder;18/03/2020;09/05/2020
Belgium;StayHomeOrderPartial;16/10/2020;NA
Belgium;Teleworking;10/03/2020;07/06/2020
Belgium;Teleworking;19/10/2020;NA
Belgium;TeleworkingPartial;08/06/2020;18/10/2020
Bulgaria;AdaptationOfWorkplace;01/10/2020;NA
Bulgaria;BanOnAllEvents;08/03/2020;14/05/2020
Bulgaria;BanOnAllEventsPartial;15/05/2020;30/06/2020
Bulgaria;ClosDaycare;13/03/2020;21/05/2020
Bulgaria;ClosDaycare;27/11/2020;03/01/2021
Bulgaria;ClosDaycarePartial;22/05/2020;14/06/2020
Bulgaria;ClosHigh;13/03/2020;31/05/2020
Bulgaria;ClosHighPartial;01/06/2020;NA
Bulgaria;ClosPrim;13/03/2020;14/09/2020
Bulgaria;ClosPrim;27/11/2020;03/01/2021
Bulgaria;ClosPubAny;13/03/2020;17/05/2020
Bulgaria;ClosPubAnyPartial;18/05/2020;14/06/2020
Bulgaria;ClosPubAnyPartial;29/10/2020;NA
Bulgaria;ClosSec;13/03/2020;14/09/2020
Bulgaria;ClosSec;01/12/2020;03/02/2021
Bulgaria;ClosSecPartial;29/10/2020;30/11/2020
Bulgaria;ClosSecPartial;04/02/2021;NA
Bulgaria;EntertainmentVenues;13/03/2020;17/05/2020
Bulgaria;EntertainmentVenuesPartial;14/11/2020;NA
Bulgaria;GymsSportsCentres;13/03/2020;17/05/2020
Bulgaria;GymsSportsCentresPartial;18/05/2020;14/06/2020
Bulgaria;GymsSportsCentresPartial;27/11/2020;NA
Bulgaria;MasksMandatoryAllSpaces;30/03/2020;31/03/2020
Bulgaria;MasksMandatoryAllSpaces;12/04/2020;30/04/2020
Bulgaria;MasksMandatoryClosedSpaces;01/05/2020;NA
Bulgaria;MassGather50;08/03/2020;14/05/2020
Bulgaria;MassGather50Partial;15/05/2020;30/06/2020
Bulgaria;MassGatherAll;08/03/2020;12/03/2020
Bulgaria;MassGatherAllPartial;13/03/2020;30/06/2020
Bulgaria;NonEssentialShops;13/03/2020;17/05/2020
Bulgaria;NonEssentialShops;27/11/2020;31/01/2021
Bulgaria;PrivateGatheringRestrictions;08/03/2020;30/06/2020
Bulgaria;PrivateGatheringRestrictions;27/11/2020;NA
Bulgaria;RestaurantsCafes;13/03/2020;31/05/2020
Bulgaria;RestaurantsCafes;01/12/2020;28/02/2021
Bulgaria;RestaurantsCafesPartial;29/10/2020;30/11/2020
Bulgaria;RestaurantsCafesPartial;01/03/2021;NA
Bulgaria;Teleworking;13/03/2020;29/03/2020
Bulgaria;Teleworking;14/11/2020;26/11/2020
Bulgaria;TeleworkingPartial;27/11/2020;NA
Croatia;AdaptationOfWorkplacePartial;28/11/2020;NA
Croatia;BanOnAllEvents;19/03/2020;18/04/2020
Croatia;ClosDaycare;16/03/2020;11/05/2020
Croatia;ClosHigh;16/03/2020;29/03/2020
Croatia;ClosPrim;16/03/2020;10/05/2020
Croatia;ClosPrimPartial;11/05/2020;25/05/2020
Croatia;ClosPubAny;19/03/2020;28/05/2020
Croatia;ClosPubAnyPartial;14/08/2020;22/09/2020
Croatia;ClosPubAnyPartial;28/11/2020;NA
